Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.05,-.39,-.13,-.02,-.81,-.48,-.31,-.14,-.11,-.04,.05,.66
1881,-.09,-.18,.00,-.35,.10,-.07,-.91,-.44,-.22,.10,.10,-.06,-.07,.58
1882,-.11,-.21,-.01,-.31,-.05,.01,-1.41,-.26,-.15,-.04,-.05,.01,.04,.61
1883,-.18,-.29,-.07,-.35,-.17,-.01,-.18,-.55,-.27,-.18,-.16,-.04,.07,.48
1884,-.28,-.43,-.15,-.61,-.15,-.14,-1.30,-.63,-.48,-.12,-.17,-.19,-.02,.63
1885,-.33,-.43,-.24,-.65,-.13,-.27,-1.51,-.67,-.46,-.07,-.20,-.33,-.15,.81
1886,-.31,-.43,-.20,-.57,-.20,-.21,-1.59,-.49,-.41,-.22,-.18,-.20,-.21,.58
1887,-.36,-.44,-.29,-.53,-.30,-.28,-1.77,-.50,-.30,-.29,-.30,-.27,-.26,.30
1888,-.17,-.24,-.12,-.42,.10,-.29,-1.31,-.42,-.25,.07,.13,-.31,-.23,.14
1889,-.10,-.18,-.04,-.29,.08,-.16,-.69,-.22,-.28,.02,.14,-.15,-.15,.43
1890,-.35,-.38,-.32,-.45,-.37,-.22,-1.14,-.55,-.27,-.27,-.47,-.17,-.27,.14
1891,-.22,-.26,-.19,-.43,-.08,-.21,-1.12,-.33,-.37,.00,-.16,-.18,-.24,-.17
1892,-.27,-.40,-.15,-.44,-.30,-.08,-1.16,-.66,-.18,-.33,-.26,.03,-.21,.07
1893,-.32,-.48,-.16,-.52,-.37,-.05,-.70,-.55,-.47,-.42,-.32,.07,-.20,-.06
1894,-.32,-.39,-.24,-.33,-.37,-.24,-.95,-.33,-.19,-.50,-.24,-.14,-.35,-.39
1895,-.23,-.31,-.16,-.40,-.09,-.26,-.68,-.53,-.27,-.15,-.03,-.19,-.32,-.60
1896,-.11,-.19,-.03,-.35,.10,-.15,-.88,-.37,-.22,.06,.14,-.15,-.13,.24
1897,-.11,-.16,-.05,-.35,.17,-.23,-.56,-.47,-.24,.14,.20,-.19,-.27,.39
1898,-.27,-.29,-.26,-.35,-.22,-.26,-1.17,-.24,-.23,-.18,-.26,-.27,-.21,.36
1899,-.18,-.21,-.14,-.25,-.13,-.18,-1.06,-.10,-.15,-.16,-.09,-.15,-.22,.57
1900,-.08,-.09,-.06,-.21,.17,-.30,-.58,-.16,-.15,.09,.25,-.28,-.29,.26
1901,-.16,-.13,-.19,-.17,-.05,-.30,-.45,-.11,-.15,-.07,-.03,-.27,-.34,.25
1902,-.28,-.33,-.22,-.53,-.04,-.35,-1.42,-.50,-.33,-.02,-.06,-.28,-.43,-.06
1903,-.37,-.38,-.36,-.47,-.28,-.38,-.30,-.42,-.56,-.24,-.33,-.35,-.40,-.50
1904,-.47,-.48,-.46,-.51,-.47,-.44,-.19,-.59,-.55,-.44,-.50,-.37,-.49,-1.32
1905,-.26,-.29,-.23,-.41,-.09,-.36,-.08,-.23,-.62,-.12,-.05,-.32,-.37,-.34
1906,-.22,-.24,-.21,-.26,-.20,-.23,-.28,-.06,-.39,-.22,-.18,-.20,-.22,-.71
1907,-.39,-.48,-.30,-.59,-.31,-.29,-.60,-.72,-.52,-.31,-.31,-.20,-.37,-1.20
1908,-.43,-.46,-.40,-.48,-.44,-.35,-.25,-.54,-.51,-.42,-.46,-.28,-.48,.67
1909,-.48,-.49,-.47,-.53,-.48,-.44,-.76,-.62,-.43,-.44,-.52,-.37,-.52,-.57
1910,-.43,-.44,-.43,-.41,-.49,-.38,-.58,-.24,-.49,-.48,-.50,-.33,-.45,.16
1911,-.44,-.42,-.46,-.42,-.42,-.48,-.29,-.42,-.47,-.43,-.42,-.44,-.53,.05
1912,-.36,-.46,-.25,-.60,-.18,-.37,-.53,-.79,-.50,-.27,-.09,-.36,-.29,-1.64
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.50,-.33,-.50,-.39,-.14,-.28,-.40,-1.04
1914,-.15,-.20,-.11,-.25,-.06,-.18,-.38,-.16,-.28,-.12,-.01,-.15,-.18,-.37
1915,-.14,-.15,-.13,-.24,-.02,-.22,-.61,-.17,-.18,-.02,-.01,-.15,-.23,-1.98
1916,-.36,-.42,-.31,-.37,-.45,-.23,-.50,-.54,-.24,-.50,-.40,-.23,-.17,-1.05
1917,-.46,-.58,-.36,-.50,-.64,-.19,-.84,-.50,-.43,-.69,-.58,-.23,-.10,.06
1918,-.30,-.40,-.20,-.41,-.34,-.14,-1.03,-.27,-.34,-.39,-.28,-.06,-.23,-.28
1919,-.28,-.35,-.20,-.44,-.20,-.22,-.72,-.56,-.30,-.24,-.17,-.14,-.32,.19
